Player,2015_score,2016_score,2017_score,2018_score,2019_score,2020_score,Predict_Score,lm_predict,rf predict,Neural Networks
Aaron Gordon,39,55.95,57.77,64.07,67.32,64.02,48.31,43.76,46.04,45.02
Aaron Holiday,54.04,54.88,53.74,49.89,42.06,52.95,34.72,31.68,33.48,32.39
Al Horford,70.86,76.39,74.69,75.2,75.73,74.98,43.08,52.04,46.44,49.96
Alec Burks,46.96,45.97,43.17,50.5,46.94,59.66,33.48,37.95,34.42,35.10
Alex Caruso,54.04,54.88,53.74,39.01,45.15,49.4,29.17,31.35,31.33,31.58
Andre Drummond,69.16,71.21,70.21,78.39,79.67,69.02,53.49,48.24,47.58,47.73
Andre Iguodala,63.75,62.66,67.75,63.25,66.57,55.44,28.03,37.48,29.75,38.58
Andrew Wiggins,54.67,56.6,61.21,61.05,61.76,60.98,44.44,40.86,42.21,39.81
Anfernee Simons,54.04,54.88,53.74,49.89,27.36,45.91,30.98,22.89,28.28,26.73
Anthony Davis,76.18,71.93,80.37,83.88,83.69,80.46,68.7,57.23,66.33,51.44
Aron Baynes,52.96,57.49,55.51,60.43,56.02,61.91,40.33,40.07,38.32,39.63
Austin Rivers,42.83,48.41,54.9,60.06,50.21,55.62,31.29,34.37,32.27,35.62
Avery Bradley,58.23,62.17,63.48,49.01,54.1,52.52,26.41,34.23,29.96,35.68
Bam Adebayo,54.04,54.88,53.74,48.8,57.95,68.68,56.39,47.41,55.31,41.45
Ben Simmons,54.04,54.88,53.74,69.27,69.76,66.07,53.2,45.33,46.1,43.33
Blake Griffin,68.41,63.29,70.47,68.43,79.17,54.25,51.61,38.96,41.3,40.12
Bobby Portis,54.04,46.13,46.52,58.98,54.94,54.9,31.8,35.25,30.95,33.81
Brad Wanamaker,54.04,54.88,53.74,49.89,43.5,56.48,26.86,34.67,32.09,33.98
Bradley Beal,55.88,55.53,68.61,71.03,77.91,74.8,59.11,53.85,57.14,47.71
Brandon Clarke,54.04,54.88,53.74,49.89,50.7,56.04,42.39,36.07,41.95,35.34
Brandon Ingram,54.04,54.88,49.71,54.45,52.6,67.56,50.12,44.39,49.98,40.10
Brook Lopez,66.04,69.67,71.91,65.56,74.54,70.95,44.84,50.39,45.87,47.28
Bruce Brown,54.04,54.88,53.74,49.89,46.51,54.06,22.07,33.58,26.56,33.74
Buddy Hield,54.04,54.88,52.56,62.89,73.63,71.43,46.66,51.17,50.31,46.02
CJ McCollum,45.2,67.6,70.33,70.41,69.47,74.22,49.3,50.68,49.41,50.91
Caleb Martin,54.04,54.88,53.74,49.89,50.7,40.09,23.57,24.14,28.13,29.55
Cam Reddish,54.04,54.88,53.74,49.89,50.7,48.58,35.66,30.49,35.41,32.63
Cameron Johnson,54.04,54.88,53.74,49.89,50.7,52.41,33.02,33.35,35.24,34.02
Cedi Osman,54.04,54.88,53.74,41.45,59.46,56.42,33.22,39.68,36.8,37.19
Chris Boucher,54.04,54.88,53.74,26.25,40.21,54.87,35.83,36.11,34.31,32.31
Chris Chiozza,54.04,54.88,53.74,49.89,27.66,39.63,15.04,18.26,19.01,24.51
Chris Paul,83.09,81.16,79.92,80.69,77.9,79.44,47.73,55.12,50.25,50.96
Christian Wood,54.04,30.81,29.44,49.89,40.42,58.39,46.39,36.2,37.6,28.19
Clint Capela,29.35,53.64,58.01,67.98,71.72,67.27,45.05,46.67,45.39,48.39
Coby White,54.04,54.88,53.74,49.89,50.7,51.81,43.68,32.91,41.34,33.81
